pattern,execution count
56_64,1
-2040_48,1
76_68,1
4_-512,1024
4_4,101526272
1_8,256
1_4,7936
4_64,2097152
32_512,16384
256_32,2048
4_128,1048576
32_256,8192
128_1024,512
1_-256,1576960
-256_512,4096
1024_256,4096
1024_64,4096
256_8,5120
-256_1024,1024
4_8,260
1_-32,32
1_-512,2048
1_64,8192
1_2,2048
512_4,65536
1_256,512
-4_7,2
-4_-4,0
-1_1,266
-2_8,0
-1_-4,0
136_132,4
1_-20,0
-24_20,0
20_20,0
-4_1,0
-4_-1,0
-64_11,4
-8_20,0
-8_-1,0
32_32,0
8_16,0
16_24,0
24_32,0
8_8,0
16_16,0
24_24,0
1368_-24,0
-8_8,4
20_24,1
-48_-48,0
-48_1,0
108_120,0
116_8,0
8_212,26
140_132,4
144_164,4
216_212,0
-84_20,4
60_72,4
1_-1,32
1_1,416
-1_-1,0
