pattern,execution count
56_64,1
-2040_48,1
76_68,1
4_-1536,6144
4_4,5464536320
1_8,256
1_4,84990720
4_32,75497472
32_512,589824
256_16,73728
4_128,18874368
32_128,147456
256_64,1536
1536_1536,2880
4_-32,594542592
4_8,772
1_-32,96
1_-1536,6144
1_128,76800
1536_4,1179648
1_-512,36864
-4_7,2
-4_-4,0
-1_1,266
-2_8,0
-1_-4,0
136_132,4
1_-20,0
-24_20,0
20_20,0
-4_1,0
-4_-1,0
-64_11,4
-8_20,0
-8_-1,0
32_32,0
8_16,0
16_24,0
24_32,0
8_8,0
16_16,0
24_24,0
1368_-24,0
-8_8,4
20_24,1
-48_-48,0
-48_1,0
108_120,0
116_8,0
8_212,26
140_132,4
144_164,4
216_212,0
-84_20,4
60_72,4
1_-1,32
1_1,416
-1_-1,0
