pattern,execution count
56_64,1
-2040_48,1
76_68,1
4_4,5216584704
1_512,260
4_32,50331648
32_512,393216
256_16,49152
4_128,12582912
32_128,98304
256_1024,512
1536_1536,64
4_-32,5505024
1_4,786432
-256_1024,88064
256_8,333824
1_-256,80461824
1024_64,245760
-256_512,36864
1024_256,36864
4_8,1028
1_-512,61440
1_-2048,30720
1_128,55296
512_4,786432
-4_7,2
-4_-4,0
-1_1,266
-2_8,0
-1_-4,0
136_132,4
1_-20,0
-24_20,0
20_20,0
-4_1,0
-4_-1,0
-64_11,4
-8_20,0
1_8,0
-8_-1,0
32_32,0
8_16,0
16_24,0
24_32,0
8_8,0
16_16,0
24_24,0
1368_-24,0
-8_8,4
20_24,1
-48_-48,0
-48_1,0
108_120,0
116_8,0
8_212,26
140_132,4
144_164,4
216_212,0
-84_20,4
60_72,4
1_-1,32
1_1,416
-1_-1,0
